Municipio/Nivel,Secundaria,Media Superior ,Superior
Estado,92.07238963,91.91744713,58.93204198
Abasolo,89.30747922,71.59090909,55.62347188
Acámbaro,89.92805755,83.43672457,17.03056769
San Miguel de Allende,92.13670464,74.31906615,44.7761194
Apaseo el Alto,86.71428571,99.09747292,2.707006369
Apaseo el Grande,95.90558767,62.66363119,13.58024691
Atarjea,102.5862069,89.09090909, 
Celaya,98.83935351,98.94398531,75.95786903
Manuel Doblado,85.84070796,55.0802139,22.05128205
Comonfort,92.65046296,69.52580195,0.379266751
Coroneo,97.0212766,87.39495798, 
Cortazar,95.7493188,98.12974868,129.9137931
Cuerámaro,82.19178082,66.18556701,19.54545455
Doctor Mora,106.3897764,71.35416667,7.250755287
Dolores Hidalgo,87.1883061,75.10980966,66.87306502
Guanajuato,96.93654267,89.792855,151.895355
Huanímaro,86.51960784,109.6875, 
Irapuato,91.20148857,89.15538096,55.92677346
Jaral del Progreso,95.46099291,75.92592593, 
Jerécuaro,84.84848485,58.90585242, 
León,92.19678259,91.16093483,89.02400405
Moroleón,90.77720207,86.60235798,65.14522822
Ocampo,98.83945841,63.38797814, 
Pénjamo,87.08920188,70.80357143,36.56597774
Pueblo Nuevo,109.8305085,114.7651007, 
Purísima del Rincón,83.36425479,636.3013699,20.01920307
Romita,92.39940387,63.0859375, 
Salamanca,92.62700138,90.38335159,49.56247812
Salvatierra,91.89928845,98.42931937,64.59627329
San Diego de la Unión,92.85714286,73.76311844, 
San Felipe,89.12386707,69.90672558,10.48387097
San Francisco del Rincón,75.70449353,90.17003188,33.49282297
San José Iturbide,98.10838446,82.20011056,15.43086172
San Luis de la Paz,90.41651309,88.39028407,13.46282652
Santa Catarina,104.3859649,66.93548387, 
Santa Cruz de Juventino Rosas,95,72.37026648,52.91828794
Santiago Maravatío,104.1666667,20.83333333, 
Silao,93.23682962,86.42375169,51.85995624
Tarandacuao,99.15611814,88.3248731, 
Tarimoro,95.5290611,72.52747253,32.54716981
Tierra Blanca,101.305483,94.43037975, 
Uriangato,92.73743017,79.1954023,72.54901961
Valle de Santiago,86.77419355,70.98872507,54.43645084
Victoria,95.22727273,68.3046683,23.60515021
Villagrán,101.7488076,74.72527473, 
Xichú,89.80392157,54.08163265, 
Yuriria,86.23024831,70.05444646,2.878787879
